id,type,role,section,act,label,name,number
caseno:158/1954,CaseNumber,,,,,,158/1954
0000014789,Case,candidate,,,,,
0000014936,Case,candidate,,,,,
statute:S.45,Statute,,45,,S.45,,
statute:S.12,Statute,,12,,S.12,,
statute:S.73,Statute,,73,,S.73,,
statute:S.63,Statute,,63,,S.63,,
caseno:1005/1930,CaseNumber,,,,,,1005/1930
caseno:586/1926,CaseNumber,,,,,,586/1926
0000017389,Case,candidate,,,,,
0000018269,Case,candidate,,,,,
statute:S.2300,Statute,,2300,,S.2300,,
0000021773,Case,candidate,,,,,
statute:S.79(1),Statute,,79(1),,S.79(1),,
statute:S.221 the Act,Statute,,221,the Act,S.221 the Act,,
statute:S.79 the Act,Statute,,79,the Act,S.79 the Act,,
statute:S.52 the Madras Revenue Recovery Act,Statute,,52,the Madras Revenue Recovery Act,S.52 the Madras Revenue Recovery Act,,
statute:S.534,Statute,,534,,S.534,,
statute:S.78 the Act,Statute,,78,the Act,S.78 the Act,,
statute:S.76,Statute,,76,,S.76,,
statute:S.20,Statute,,20,,S.20,,
statute:S.112,Statute,,112,,S.112,,
caseno:302/1960,CaseNumber,,,,,,302/1960
caseno:535/1958,CaseNumber,,,,,,535/1958
0000025576,Case,candidate,,,,,
statute:S.218,Statute,,218,,S.218,,
"statute:S.218 the Calcutta Municipal Act, 1951",Statute,,218,"the Calcutta Municipal Act, 1951","S.218 the Calcutta Municipal Act, 1951",,
statute:S.218 the Act,Statute,,218,the Act,S.218 the Act,,
statute:S.541,Statute,,541,,S.541,,
statute:S.218(1),Statute,,218(1),,S.218(1),,
statute:S.5441(1),Statute,,5441(1),,S.5441(1),,
statute:S.541(1),Statute,,541(1),,S.541(1),,
statute:S.547,Statute,,547,,S.547,,
statute:S.5411,Statute,,5411,,S.5411,,
statute:S.541(2),Statute,,541(2),,S.541(2),,
statute:S.541 the Act,Statute,,541,the Act,S.541 the Act,,
statute:S.537 the Act,Statute,,537,the Act,S.537 the Act,,
statute:S.537,Statute,,537,,S.537,,
statute:S.250,Statute,,250,,S.250,,
statute:S.385 (1),Statute,,385 (1),,S.385 (1),,
statute:S.386 (1),Statute,,386 (1),,S.386 (1),,
statute:S.222(1),Statute,,222(1),,S.222(1),,
"statute:S.265 the City of Bombay Municipal Act, 1888",Statute,,265,"the City of Bombay Municipal Act, 1888","S.265 the City of Bombay Municipal Act, 1888",,
"statute:S.26 the Limitation Act, 1877",Statute,,26,"the Limitation Act, 1877","S.26 the Limitation Act, 1877",,
statute:S.212 the Bombay City Municipal Act,Statute,,212,the Bombay City Municipal Act,S.212 the Bombay City Municipal Act,,
statute:S.341 the City of Madras Municipal Act,Statute,,341,the City of Madras Municipal Act,S.341 the City of Madras Municipal Act,,
"statute:S.421 the Calcutta Municipal Act, 1923",Statute,,421,"the Calcutta Municipal Act, 1923","S.421 the Calcutta Municipal Act, 1923",,
statute:S.386(1),Statute,,386(1),,S.386(1),,
statute:S.488,Statute,,488,,S.488,,
statute:S.74 the Contract Act,Statute,,74,the Contract Act,S.74 the Contract Act,,
statute:S.9 the Specific Relief Act,Statute,,9,the Specific Relief Act,S.9 the Specific Relief Act,,
statute:S.90 the Indian Registration Act,Statute,,90,the Indian Registration Act,S.90 the Indian Registration Act,,
statute:S.295,Statute,,295,,S.295,,
statute:S.212,Statute,,212,,S.212,,
statute:S.1(4),Statute,,1(4),,S.1(4),,
statute:S.3 the India Act,Statute,,3,the India Act,S.3 the India Act,,
statute:S.10 the Arbitration Act,Statute,,10,the Arbitration Act,S.10 the Arbitration Act,,
statute:S.116 the Oil Field Regulation and Development Act,Statute,,116,the Oil Field Regulation and Development Act,S.116 the Oil Field Regulation and Development Act,,
statute:S.547A,Statute,,547A,,S.547A,,
statute:S.96,Statute,,96,,S.96,,
statute:S.115 the Act,Statute,,115,the Act,S.115 the Act,,
statute:S.512,Statute,,512,,S.512,,
statute:S.17,Statute,,17,,S.17,,
statute:S.13,Statute,,13,,S.13,,
statute:S.26,Statute,,26,,S.26,,
statute:S.19,Statute,,19,,S.19,,
statute:S.14,Statute,,14,,S.14,,
statute:S.37,Statute,,37,,S.37,,
statute:S.26 the Limitation Act,Statute,,26,the Limitation Act,S.26 the Limitation Act,,
statute:S.305,Statute,,305,,S.305,,
statute:S.341,Statute,,341,,S.341,,
statute:S.218 the Calcutta Municipal Act,Statute,,218,the Calcutta Municipal Act,S.218 the Calcutta Municipal Act,,
statute:S.32,Statute,,32,,S.32,,
statute:S.43,Statute,,43,,S.43,,
statute:S.24,Statute,,24,,S.24,,
statute:S.84 (1),Statute,,84 (1),,S.84 (1),,
"statute:S.26 the Indian Limitation Act, 1877",Statute,,26,"the Indian Limitation Act, 1877","S.26 the Indian Limitation Act, 1877",,
"statute:S.341 the City of Madras Municipal Act, 1884",Statute,,341,"the City of Madras Municipal Act, 1884","S.341 the City of Madras Municipal Act, 1884",,
statute:S.17(2),Statute,,17(2),,S.17(2),,
"statute:S.212 the City of Bombay Municipal Act, 1888",Statute,,212,"the City of Bombay Municipal Act, 1888","S.212 the City of Bombay Municipal Act, 1888",,
statute:S.130,Statute,,130,,S.130,,
statute:S.116,Statute,,116,,S.116,,
statute:S.167(2),Statute,,167(2),,S.167(2),,
statute:S.208(1),Statute,,208(1),,S.208(1),,
statute:S.225(1),Statute,,225(1),,S.225(1),,
statute:S.218 (1),Statute,,218 (1),,S.218 (1),,
statute:S.541 (1),Statute,,541 (1),,S.541 (1),,
statute:S.547(1),Statute,,547(1),,S.547(1),,
court:Rajasthan High Court,Court,,,,,Rajasthan High Court,
court:Bombay High Court,Court,,,,,Bombay High Court,
caseno:193/1964,CaseNumber,,,,,,193/1964
caseno:369/1962,CaseNumber,,,,,,369/1962
caseno:10/1940,CaseNumber,,,,,,10/1940
caseno:43/1958,CaseNumber,,,,,,43/1958
caseno:63/1948,CaseNumber,,,,,,63/1948
caseno:53/1948,CaseNumber,,,,,,53/1948
0000032468,Case,candidate,,,,,
statute:S.226,Statute,,226,,S.226,,
0000034445,Case,candidate,,,,,
statute:S.33(2),Statute,,33(2),,S.33(2),,
statute:S.31 the Act,Statute,,31,the Act,S.31 the Act,,
statute:S.33A,Statute,,33A,,S.33A,,
statute:S.10(1),Statute,,10(1),,S.10(1),,
statute:S.33(1),Statute,,33(1),,S.33(1),,
statute:S.33 (2),Statute,,33 (2),,S.33 (2),,
statute:S.31(1),Statute,,31(1),,S.31(1),,
caseno:666/1980,CaseNumber,,,,,,666/1980
0000034813,Case,candidate,,,,,
statute:S.121A,Statute,,121A,,S.121A,,
statute:S.110,Statute,,110,,S.110,,
statute:S.23,Statute,,23,,S.23,,
statute:S.29,Statute,,29,,S.29,,
statute:S.21,Statute,,21,,S.21,,
statute:S.200,Statute,,200,,S.200,,
statute:S.38,Statute,,38,,S.38,,
statute:S.59,Statute,,59,,S.59,,
statute:S.410,Statute,,410,,S.410,,
statute:S.417,Statute,,417,,S.417,,
statute:S.196,Statute,,196,,S.196,,
statute:S.104,Statute,,104,,S.104,,
statute:S.71,Statute,,71,,S.71,,
statute:S.22,Statute,,22,,S.22,,
statute:S.238,Statute,,238,,S.238,,
statute:S.16999,Statute,,16999,,S.16999,,
statute:S.289,Statute,,289,,S.289,,
statute:S.230,Statute,,230,,S.230,,
statute:S.114,Statute,,114,,S.114,,
0000035294,Case,candidate,,,,,
statute:S.63 (4) the Hindu Religious Endowments Act,Statute,,63 (4),the Hindu Religious Endowments Act,S.63 (4) the Hindu Religious Endowments Act,,
statute:S.63(1) the Act,Statute,,63(1),the Act,S.63(1) the Act,,
statute:S.73 the Religious Endowments Act,Statute,,73,the Religious Endowments Act,S.73 the Religious Endowments Act,,
statute:S.665,Statute,,665,,S.665,,
statute:S.63 (4),Statute,,63 (4),,S.63 (4),,
statute:S.63 the Religious Endowments Act,Statute,,63,the Religious Endowments Act,S.63 the Religious Endowments Act,,
statute:S.73 the Act,Statute,,73,the Act,S.73 the Act,,
statute:S.40 the Act,Statute,,40,the Act,S.40 the Act,,
statute:S.25,Statute,,25,,S.25,,
statute:S.63 (2),Statute,,63 (2),,S.63 (2),,
statute:S.500,Statute,,500,,S.500,,
caseno:35/1887,CaseNumber,,,,,,35/1887
caseno:27/1916,CaseNumber,,,,,,27/1916
caseno:8/1917,CaseNumber,,,,,,8/1917
caseno:1/1929,CaseNumber,,,,,,1/1929
caseno:8/1927,CaseNumber,,,,,,8/1927
caseno:344/1929,CaseNumber,,,,,,344/1929
caseno:212/1930,CaseNumber,,,,,,212/1930
caseno:211/1930,CaseNumber,,,,,,211/1930
0000038585,Case,candidate,,,,,
statute:S.822,Statute,,822,,S.822,,
statute:S.14 the Act,Statute,,14,the Act,S.14 the Act,,
statute:S.15 the Central Act,Statute,,15,the Central Act,S.15 the Central Act,,
statute:S.15 the Central Sales Tax Act and inasmuch as Punjab Act,Statute,,15,the Central Sales Tax Act and inasmuch as Punjab Act,S.15 the Central Sales Tax Act and inasmuch as Punjab Act,,
statute:S.16,Statute,,16,,S.16,,
statute:S.203,Statute,,203,,S.203,,
statute:S.15 the Central Sales Tax Act,Statute,,15,the Central Sales Tax Act,S.15 the Central Sales Tax Act,,
statute:S.5 the Act,Statute,,5,the Act,S.5 the Act,,
statute:S.5(1),Statute,,5(1),,S.5(1),,
"statute:S.14 the Central Sales Tax Act, 1956",Statute,,14,"the Central Sales Tax Act, 1956","S.14 the Central Sales Tax Act, 1956",,
statute:S.14 the Central Act,Statute,,14,the Central Act,S.14 the Central Act,,
statute:S.11,Statute,,11,,S.11,,
statute:S.11A,Statute,,11A,,S.11A,,
"statute:S.15 the Central Sales Tax Act, 1956",Statute,,15,"the Central Sales Tax Act, 1956","S.15 the Central Sales Tax Act, 1956",,
statute:S.556 (562),Statute,,556 (562),,S.556 (562),,
statute:S.9 the amending Act,Statute,,9,the amending Act,S.9 the amending Act,,
statute:S.12 the principal Act,Statute,,12,the principal Act,S.12 the principal Act,,
statute:S.55,Statute,,55,,S.55,,
statute:S.2(1),Statute,,2(1),,S.2(1),,
statute:S.2(4) that Act,Statute,,2(4),that Act,S.2(4) that Act,,
caseno:7/1958,CaseNumber,,,,,,7/1958
caseno:1271/1959,CaseNumber,,,,,,1271/1959
caseno:861/1959,CaseNumber,,,,,,861/1959
caseno:13/1959,CaseNumber,,,,,,13/1959
caseno:24/1959,CaseNumber,,,,,,24/1959
caseno:898/1959,CaseNumber,,,,,,898/1959
caseno:46/1948,CaseNumber,,,,,,46/1948
caseno:74/1956,CaseNumber,,,,,,74/1956
caseno:16/1957,CaseNumber,,,,,,16/1957
caseno:31/1958,CaseNumber,,,,,,31/1958
caseno:359/1959,CaseNumber,,,,,,359/1959
caseno:12/1925,CaseNumber,,,,,,12/1925
0000040124,Case,candidate,,,,,
statute:S.256(1),Statute,,256(1),,S.256(1),,
statute:S.173 the Contract Act,Statute,,173,the Contract Act,S.173 the Contract Act,,
0000041217,Case,candidate,,,,,
statute:S.4(1) the Act,Statute,,4(1),the Act,S.4(1) the Act,,
statute:S.6 the Act,Statute,,6,the Act,S.6 the Act,,
statute:S.4 the Act says that the Act,Statute,,4,the Act says that the Act,S.4 the Act says that the Act,,
statute:S.4 the Act,Statute,,4,the Act,S.4 the Act,,
caseno:29/1954,CaseNumber,,,,,,29/1954
caseno:60/1980,CaseNumber,,,,,,60/1980
0000042052,Case,candidate,,,,,
statute:S.11 the Act,Statute,,11,the Act,S.11 the Act,,
statute:S.13(2) the Act,Statute,,13(2),the Act,S.13(2) the Act,,
statute:S.57,Statute,,57,,S.57,,
statute:S.13(2),Statute,,13(2),,S.13(2),,
statute:S.256(1) the Act,Statute,,256(1),the Act,S.256(1) the Act,,
statute:S.36,Statute,,36,,S.36,,
statute:S.13 the Act,Statute,,13,the Act,S.13 the Act,,
0000043023,Case,candidate,,,,,
statute:S.7 (1),Statute,,7 (1),,S.7 (1),,
"statute:S.100 the Government of India Act, 1935",Statute,,100,"the Government of India Act, 1935","S.100 the Government of India Act, 1935",,
statute:S.124A,Statute,,124A,,S.124A,,
statute:S.20 the impugned Act,Statute,,20,the impugned Act,S.20 the impugned Act,,
0000047966,Case,candidate,,,,,
statute:S.5000,Statute,,5000,,S.5000,,
statute:S.166,Statute,,166,,S.166,,
statute:S.158,Statute,,158,,S.158,,
statute:S.168,Statute,,168,,S.168,,
statute:S.169,Statute,,169,,S.169,,
court:High Court of Kerala,Court,,,,,High Court of Kerala,
caseno:19562/1999,CaseNumber,,,,,,19562/1999
caseno:321/1985,CaseNumber,,,,,,321/1985
0000051438,Case,candidate,,,,,
statute:S.15 the Motor Vehicles Act,Statute,,15,the Motor Vehicles Act,S.15 the Motor Vehicles Act,,
statute:S.15 the Act,Statute,,15,the Act,S.15 the Act,,
statute:S.149 the Act,Statute,,149,the Act,S.149 the Act,,
statute:S.145,Statute,,145,,S.145,,
statute:S.146 the Act,Statute,,146,the Act,S.146 the Act,,
statute:S.147,Statute,,147,,S.147,,
statute:S.149(2) the Act,Statute,,149(2),the Act,S.149(2) the Act,,
0000053020,Case,candidate,,,,,
statute:S.10(2),Statute,,10(2),,S.10(2),,
statute:S.557,Statute,,557,,S.557,,
statute:S.45 the Specific Relief Act,Statute,,45,the Specific Relief Act,S.45 the Specific Relief Act,,
"statute:S.45 the Specific Relief Act, 1877",Statute,,45,"the Specific Relief Act, 1877","S.45 the Specific Relief Act, 1877",,
court:COMMISSION,Court,,,,,COMMISSION,
caseno:87/1960,CaseNumber,,,,,,87/1960
0000053080,Case,candidate,,,,,
statute:S.4(4),Statute,,4(4),,S.4(4),,
statute:S.4 (4),Statute,,4 (4),,S.4 (4),,
statute:S.252,Statute,,252,,S.252,,
statute:S.3114,Statute,,3114,,S.3114,,
caseno:1136/1977,CaseNumber,,,,,,1136/1977
caseno:548/1974,CaseNumber,,,,,,548/1974
caseno:1244/1977,CaseNumber,,,,,,1244/1977
caseno:293/1974,CaseNumber,,,,,,293/1974
caseno:787/1976,CaseNumber,,,,,,787/1976
0000053190,Case,candidate,,,,,
statute:S.35(5),Statute,,35(5),,S.35(5),,
statute:S.2154,Statute,,2154,,S.2154,,
statute:S.1229,Statute,,1229,,S.1229,,
statute:S.35 (5),Statute,,35 (5),,S.35 (5),,
statute:S.34(1),Statute,,34(1),,S.34(1),,
statute:S.35(5) the Act,Statute,,35(5),the Act,S.35(5) the Act,,
statute:S.35,Statute,,35,,S.35,,
statute:S.33B,Statute,,33B,,S.33B,,
statute:S.66,Statute,,66,,S.66,,
statute:S.66A,Statute,,66A,,S.66A,,
statute:S.1(2) the Act,Statute,,1(2),the Act,S.1(2) the Act,,
statute:S.19 the Act,Statute,,19,the Act,S.19 the Act,,
statute:S.35 the original Act,Statute,,35,the original Act,S.35 the original Act,,
statute:S.23(5),Statute,,23(5),,S.23(5),,
statute:S.35(1),Statute,,35(1),,S.35(1),,
statute:S.35 the Act,Statute,,35,the Act,S.35 the Act,,
statute:S.19 the Amendment Act,Statute,,19,the Amendment Act,S.19 the Amendment Act,,
"statute:S.19 the Finance Act, 1956",Statute,,19,"the Finance Act, 1956","S.19 the Finance Act, 1956",,
statute:S.1(2) that Act,Statute,,1(2),that Act,S.1(2) that Act,,
statute:S.34 the Act,Statute,,34,the Act,S.34 the Act,,
statute:S.35 (6),Statute,,35 (6),,S.35 (6),,
caseno:2154/1966,CaseNumber,,,,,,2154/1966
0000055200,Case,candidate,,,,,
statute:S.114 the Evidence Act,Statute,,114,the Evidence Act,S.114 the Evidence Act,,
statute:S.477,Statute,,477,,S.477,,
statute:S.394,Statute,,394,,S.394,,
statute:S.154,Statute,,154,,S.154,,
caseno:129/1977,CaseNumber,,,,,,129/1977
0000060202,Case,candidate,,,,,
statute:S.306,Statute,,306,,S.306,,
statute:S.498,Statute,,498,,S.498,,
"statute:S.2 the Dowry Prohibition Act, 1961",Statute,,2,"the Dowry Prohibition Act, 1961","S.2 the Dowry Prohibition Act, 1961",,
statute:S.113,Statute,,113,,S.113,,
statute:S.107,Statute,,107,,S.107,,
caseno:43/1986,CaseNumber,,,,,,43/1986
0000060947,Case,candidate,,,,,
statute:S.171(9),Statute,,171(9),,S.171(9),,
statute:S.994,Statute,,994,,S.994,,
statute:S.171(2) the Act,Statute,,171(2),the Act,S.171(2) the Act,,
statute:S.148 the Act,Statute,,148,the Act,S.148 the Act,,
statute:S.171 the Act,Statute,,171,the Act,S.171 the Act,,
statute:S.94,Statute,,94,,S.94,,
statute:S.44,Statute,,44,,S.44,,
statute:S.171(9) the Act,Statute,,171(9),the Act,S.171(9) the Act,,
statute:S.6162,Statute,,6162,,S.6162,,
statute:S.171,Statute,,171,,S.171,,
statute:S.171(1) the Act,Statute,,171(1),the Act,S.171(1) the Act,,
statute:S.171(2),Statute,,171(2),,S.171(2),,
statute:S.171(3) the Act,Statute,,171(3),the Act,S.171(3) the Act,,
statute:S.143,Statute,,143,,S.143,,
statute:S.171(1),Statute,,171(1),,S.171(1),,
statute:S.25A,Statute,,25A,,S.25A,,
statute:S.14(1),Statute,,14(1),,S.14(1),,
statute:S.144,Statute,,144,,S.144,,
statute:S.25A(1),Statute,,25A(1),,S.25A(1),,
statute:S.171(1) the Act specifically provided that the Hindu family hitherto assessed as undivided shall be deemed for the purposes of the Act,Statute,,171(1),the Act specifically provided that the Hindu family hitherto assessed as undivided shall be deemed for the purposes of the Act,S.171(1) the Act specifically provided that the Hindu family hitherto assessed as undivided shall be deemed for the purposes of the Act,,
statute:S.60,Statute,,60,,S.60,,
statute:S.64,Statute,,64,,S.64,,
"statute:S.25F FF of the Industrial Disputes Act, 1947",Statute,,25F,"FF of the Industrial Disputes Act, 1947","S.25F FF of the Industrial Disputes Act, 1947",,
statute:S.25F,Statute,,25F,,S.25F,,
statute:S.2(31),Statute,,2(31),,S.2(31),,
statute:S.25A(2),Statute,,25A(2),,S.25A(2),,
statute:S.64(1),Statute,,64(1),,S.64(1),,
statute:S.16(3),Statute,,16(3),,S.16(3),,
statute:S.23A,Statute,,23A,,S.23A,,
statute:S.44D,Statute,,44D,,S.44D,,
statute:S.44E,Statute,,44E,,S.44E,,
statute:S.99,Statute,,99,,S.99,,
statute:S.191,Statute,,191,,S.191,,
statute:S.992,Statute,,992,,S.992,,
statute:S.156,Statute,,156,,S.156,,
statute:S.904,Statute,,904,,S.904,,
caseno:994/1984,CaseNumber,,,,,,994/1984
caseno:995/1984,CaseNumber,,,,,,995/1984
caseno:162/1983,CaseNumber,,,,,,162/1983
caseno:6036/1983,CaseNumber,,,,,,6036/1983
caseno:6162/1984,CaseNumber,,,,,,6162/1984
caseno:9283/1984,CaseNumber,,,,,,9283/1984
0000063310,Case,candidate,,,,,
statute:S.25B(2) the Industrial Disputes Act,Statute,,25B(2),the Industrial Disputes Act,S.25B(2) the Industrial Disputes Act,,
statute:S.25F the Act,Statute,,25F,the Act,S.25F the Act,,
"statute:S.25F the Industrial Disputes Act, 1947",Statute,,25F,"the Industrial Disputes Act, 1947","S.25F the Industrial Disputes Act, 1947",,
statute:S.25B(2),Statute,,25B(2),,S.25B(2),,
statute:S.2(00),Statute,,2(00),,S.2(00),,
statute:S.2(00) the Industrial Disputes Act,Statute,,2(00),the Industrial Disputes Act,S.2(00) the Industrial Disputes Act,,
statute:S.25F(1),Statute,,25F(1),,S.25F(1),,
statute:S.933,Statute,,933,,S.933,,
"statute:S.2(00) the Industrial Disputes Act, 1947",Statute,,2(00),"the Industrial Disputes Act, 1947","S.2(00) the Industrial Disputes Act, 1947",,
statute:S.258(2),Statute,,258(2),,S.258(2),,
caseno:231/1973,CaseNumber,,,,,,231/1973
caseno:5062/1973,CaseNumber,,,,,,5062/1973
0000065686,Case,candidate,,,,,
statute:S.14820,Statute,,14820,,S.14820,,
statute:S.10507,Statute,,10507,,S.10507,,
statute:S.9531,Statute,,9531,,S.9531,,
statute:S.52,Statute,,52,,S.52,,
statute:S.53,Statute,,53,,S.53,,
statute:S.61,Statute,,61,,S.61,,
statute:S.62,Statute,,62,,S.62,,
court:SUPREME COURT OF INDIA,Court,,,,,SUPREME COURT OF INDIA,
caseno:630/2002,CaseNumber,,,,,,630/2002
caseno:1006/2004,CaseNumber,,,,,,1006/2004
caseno:1023/1999,CaseNumber,,,,,,1023/1999
caseno:199/1999,CaseNumber,,,,,,199/1999
0000065796,Case,candidate,,,,,
statute:S.81(5),Statute,,81(5),,S.81(5),,
statute:S.6(2) the Act,Statute,,6(2),the Act,S.6(2) the Act,,
statute:S.22(3),Statute,,22(3),,S.22(3),,
statute:S.161,Statute,,161,,S.161,,
statute:S.50,Statute,,50,,S.50,,
statute:S.152,Statute,,152,,S.152,,
statute:S.406,Statute,,406,,S.406,,
"statute:S.81(5) the Companies Act, 1956",Statute,,81(5),"the Companies Act, 1956","S.81(5) the Companies Act, 1956",,
statute:S.29 the MRTP Act,Statute,,29,the MRTP Act,S.29 the MRTP Act,,
"statute:S.132 the Companies Act, 1956",Statute,,132,"the Companies Act, 1956","S.132 the Companies Act, 1956",,
statute:S.3(1) the said Act,Statute,,3(1),the said Act,S.3(1) the said Act,,
statute:S.138,Statute,,138,,S.138,,
statute:S.237 the Companies Act,Statute,,237,the Companies Act,S.237 the Companies Act,,
statute:S.22(3) the MRTP Act,Statute,,22(3),the MRTP Act,S.22(3) the MRTP Act,,
statute:S.58A the Companies Act,Statute,,58A,the Companies Act,S.58A the Companies Act,,
statute:S.123 the Companies Act,Statute,,123,the Companies Act,S.123 the Companies Act,,
statute:S.84,Statute,,84,,S.84,,
